subject,model,nll,cv_nll,params
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,gamma_no_same_model,2694.23961669703,2695.2338062263775,[0.07520838809742432]
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,eureka_model,2583.215352176297,2584.6845225848006,"[12.50000232224254, 0.4121775617807369]"
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,forward_search,2643.728911831099,2644.07791178856,"[0.9016994374947426, 4.782772017e9]"
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,opt_rand_model,2611.3569301132447,2612.8839375272255,[0.4795973709662022]
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,hill_climbing_model,3128.5159046585427,3134.577330540022,"[0.00034368606204383286, -1.079504084720149, 0.08718355434905564]"
A214HWAW1PYWO8:34BBWHLWHBJ6SUL255PK30LEGY5IWG,random_model,3287.6069116344734,3287.60691163444,[0.3819660112501051]
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,gamma_only_model,2475.677864865535,2478.445160150055,[0.0728424489183471]
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,gamma_0_model,2495.3235574550126,2495.672904183661,[0.3873148936420376]
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,gamma_no_same_model,2546.38267277391,2546.72327259876,[0.08462893722812587]
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,eureka_model,2529.5099804389074,2545.625294812485,"[15.000000528478934, 0.5173333651267262]"
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,forward_search,2544.686884905023,2554.3419633875137,"[1.2846115814689523, 6.2921461e8]"
ACN0C9HPYDTED:36DSNE9QZ66UIWW6W1JAY7NSUULJOD,opt_rand_model,2529.7579239234433,2530.4128406061927,[0.51796642218492]
